x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
0.058562,1.188793,-21.240336,-20.944272,-1.413582,1.413582,-3.34086,-3.105098,-7.592749,-0.166319,0.428126,-138.848164,,,
0.014641,1.187521,-21.240336,-21.081672,-0.752618,0.752618,-3.34086,-3.094198,-7.97174,-0.166319,0.109595,-251.75736,,,
0.048679,2.887065,-10.9979,-10.816695,-1.67523,1.67523,-1.51727,-1.580737,4.015042,-0.039617,-0.046065,13.998199,,,
0.10418,2.843588,-10.9979,-10.852136,-1.343182,1.343182,-1.51727,-1.61134,5.83802,-0.039617,-0.101682,61.038598,,,
0.139215,2.931536,-10.9979,-10.79207,-1.907237,1.907237,-1.51727,-1.519476,0.145217,-0.039617,-0.125893,68.531307,,,
0.629051,1.0604,-15.320224,-14.777457,-3.672941,3.672941,-2.283965,-1.529649,-49.312947,3.761007,2.813177,33.692496,,,
0.557831,1.061963,-15.320224,-15.810792,3.102741,3.102741,-2.283965,-2.076871,-9.971432,3.761007,3.136647,19.905308,,,
0.575008,1.023556,-15.320224,-15.367779,0.309447,0.309447,-2.283965,-2.18108,-4.717151,3.761007,3.667352,2.553735,,,
2.51682,0.608425,-7.754444,-7.335128,-5.716539,5.716539,0.222439,-0.011236,2079.721035,1.397273,1.281622,9.023745,,,
2.584697,0.658852,-7.754444,-7.548128,-2.733334,2.733334,0.222439,0.016175,1275.217008,1.397273,1.268796,10.125887,,,
2.507197,0.700818,-7.754444,-7.576382,-2.350219,2.350219,0.222439,0.099729,123.04378,1.397273,1.401392,-0.293914,,,
2.458619,0.705277,-7.537276,-7.539863,0.034321,0.034321,0.191927,0.132062,45.330962,1.39455,1.464196,-4.756543,,,
2.390381,0.676689,-7.537276,-7.377723,-2.162629,2.162629,0.191927,0.137402,39.682516,1.39455,1.519621,-8.230374,,,
2.468241,0.612884,-7.537276,-7.282367,-3.50036,3.50036,0.191927,0.01542,1144.653931,1.39455,1.343573,3.794154,,,
2.019351,0.139765,-5.15308,-4.885572,-5.475476,5.475476,-0.100806,-0.279724,63.962363,0.867019,0.590335,46.868873,,,
2.083656,0.136812,-5.15308,-5.136433,-0.324109,0.324109,-0.100806,-0.31615,68.114521,0.867019,0.539987,60.562821,,,
2.024989,0.217271,-5.15308,-5.065424,-1.730486,1.730486,-0.100806,-0.222484,54.690775,0.867019,0.893879,-3.00482,,,
4.050393,3.684963,-10.447712,-10.264029,-1.789588,1.789588,0.386881,0.326909,18.345226,0.207862,0.225478,-7.812795,,,
3.927189,3.853337,-10.447712,-10.304347,-1.391309,1.391309,0.386881,0.316889,22.087532,0.207862,0.177063,17.394716,,,
3.883873,3.699607,-10.447712,-10.30257,-1.408797,1.408797,0.386881,0.336331,15.029861,0.207862,0.205541,1.12934,,,
0.343208,1.777247,-13.316729,-13.053038,-2.020152,2.020152,-2.432285,-2.612312,6.891489,-0.429698,-0.575477,25.331736,,,
0.31242,1.862218,-13.316729,-12.69803,-4.872403,4.872403,-2.432285,-2.604224,6.602336,-0.429698,-0.544756,21.120906,,,
0.26716,1.825529,-13.316729,-12.848532,-3.643974,3.643974,-2.432285,-2.780627,12.527475,-0.429698,-0.481324,10.725655,,,
1.67601,1.91387,-11.715902,-11.451487,-2.309,2.309,1.335549,1.043764,27.955064,0.552907,0.455329,21.430291,,,
1.740809,1.844145,-11.715902,-11.318678,-3.509456,3.509456,1.335549,1.139548,17.199901,0.552907,0.639036,-13.477818,,,
1.78704,1.949341,-11.715902,-11.29231,-3.751158,3.751158,1.335549,1.044328,27.885998,0.552907,0.518203,6.697072,,,
1.502262,3.697928,-10.859023,-10.659273,-1.873955,1.873955,-0.111974,-0.24044,53.429646,-0.387978,-0.349505,-11.008002,,,
1.488883,3.560851,-10.859023,-10.715311,-1.341184,1.341184,-0.111974,-0.227701,50.824103,-0.387978,-0.364733,-6.373353,,,
1.623282,3.622627,-10.859023,-10.69901,-1.495587,1.495587,-0.111974,-0.145705,23.15035,-0.387978,-0.333626,-16.291311,,,
2.220535,4.057341,-10.668824,-10.560034,-1.030202,1.030202,0.148104,0.056103,163.984489,-0.193959,-0.197831,1.957683,,,
2.360476,4.163271,-10.668824,-10.529125,-1.326786,1.326786,0.148104,0.080767,83.371926,-0.193959,-0.172221,-12.621651,,,
2.233723,4.187971,-10.668824,-10.528086,-1.336787,1.336787,0.148104,0.033559,341.325686,-0.193959,-0.199033,2.549533,,,
3.529543,2.375773,-10.342277,-10.051207,-2.895875,2.895875,0.578285,0.467061,23.813546,0.570952,0.609248,-6.28577,,,
3.520172,2.545899,-10.342277,-10.143208,-1.962592,1.962592,0.578285,0.475046,21.732423,0.570952,0.541703,5.399548,,,
3.404981,2.45804,-10.342277,-10.14821,-1.912334,1.912334,0.578285,0.50522,14.461837,0.570952,0.579135,-1.412943,,,
3.565355,1.124627,-9.063117,-8.902857,-1.800101,1.800101,0.169387,0.074839,126.334206,0.808915,0.805548,0.417934,,,
3.427655,1.082958,-9.063117,-8.817432,-2.786362,2.786362,0.169387,0.084263,101.022619,0.808915,0.865674,-6.556686,,,
3.489713,0.991594,-9.063117,-8.729675,-3.819641,3.819641,0.169387,0.022223,662.211704,0.808915,0.801976,0.865149,,,
2.365319,3.962548,-10.748689,-10.574136,-1.65076,1.65076,0.247436,0.128441,92.645209,-0.177546,-0.158017,-12.358635,,,
